,original_language,movie,production_budget,worldwide_gross,studio,movie_id,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
1090,en,Two Night Stand,"$1,600,000","$868,081",EOne,tt2140619,Two Night Stand,2014,86.0,"Comedy,Romance",6.4,60510
1091,en,Locke,"$2,000,000","$2,088,390",A24,tt2692904,Locke,2013,85.0,Drama,7.1,120703
1092,en,Muppets Most Wanted,"$55,000,000","$79,312,301",BV,tt2281587,Muppets Most Wanted,2014,107.0,"Adventure,Comedy,Crime",6.4,29018
1093,en,Rosewater,"$10,000,000","$3,185,717",ORF,tt2752688,Rosewater,2014,103.0,"Biography,Drama",6.6,9836
1094,en,The Gambler,"$25,000,000","$38,718,031",Par.,tt1828325,The Gambler,2015,105.0,Drama,7.0,10
1095,en,The Gambler,"$25,000,000","$38,718,031",Par.,tt2039393,The Gambler,2014,111.0,"Crime,Drama,Thriller",6.0,59995
1096,en,The Gambler,"$25,000,000","$38,718,031",Par.,tt2843832,The Gambler,2013,52.0,Documentary,7.6,14
1097,en,The Gambler,"$25,000,000","$38,718,031",Par.,tt2924336,Losejas,2013,109.0,"Drama,Thriller",7.2,1479
1098,en,The Gambler,"$25,000,000","$38,718,031",Par.,tt9447594,The Gambler,2019,121.0,"Action,Sci-Fi,Thriller",6.1,10
1099,en,The Gambler,"$3,000,000","$101,773",Par.,tt1828325,The Gambler,2015,105.0,Drama,7.0,10
1100,en,The Gambler,"$3,000,000","$101,773",Par.,tt2039393,The Gambler,2014,111.0,"Crime,Drama,Thriller",6.0,59995
1101,en,The Gambler,"$3,000,000","$101,773",Par.,tt2843832,The Gambler,2013,52.0,Documentary,7.6,14
1102,en,The Gambler,"$3,000,000","$101,773",Par.,tt2924336,Losejas,2013,109.0,"Drama,Thriller",7.2,1479
1103,en,The Gambler,"$3,000,000","$101,773",Par.,tt9447594,The Gambler,2019,121.0,"Action,Sci-Fi,Thriller",6.1,10
1104,en,The Giver,"$25,000,000","$66,540,205",Wein.,tt0435651,The Giver,2014,97.0,"Drama,Romance,Sci-Fi",6.5,104999
1105,en,Tusk,"$3,000,000","$1,887,554",A24,tt3099498,Tusk,2014,102.0,"Comedy,Drama,Horror",5.3,40827
1106,en,That Awkward Moment,"$8,000,000","$53,068,955",Focus,tt1800246,That Awkward Moment,2014,94.0,"Comedy,Romance",6.2,92148
1107,en,Wolves,"$18,000,000","$94,953",KE,tt1403241,Wolves,2014,91.0,"Action,Fantasy,Horror",5.3,7312
1108,en,Wolves,"$18,000,000","$94,953",KE,tt4623856,Wolves,2016,109.0,"Drama,Sport",5.6,884
1109,en,Wolves,"$18,000,000","$94,953",KE,tt1403241,Wolves,2014,91.0,"Action,Fantasy,Horror",5.3,7312
1110,en,Wolves,"$18,000,000","$94,953",KE,tt4623856,Wolves,2016,109.0,"Drama,Sport",5.6,884
1111,en,Wolves,"$18,000,000","$94,953",KE,tt1403241,Wolves,2014,91.0,"Action,Fantasy,Horror",5.3,7312
1112,en,Wolves,"$18,000,000","$94,953",KE,tt4623856,Wolves,2016,109.0,"Drama,Sport",5.6,884
1113,en,The Best of Me,"$26,000,000","$41,059,418",Rela.,tt1972779,The Best of Me,2014,118.0,"Drama,Romance",6.7,59750
1114,en,I Origins,"$1,000,000","$852,399",FoxS,tt2884206,I Origins,2014,106.0,"Drama,Romance,Sci-Fi",7.4,104718
1115,en,Addicted,"$5,000,000","$17,499,242",LGF,tt2205401,Addicted,2014,106.0,"Drama,Thriller",5.2,7640
1116,en,Son of God,"$22,000,000","$70,949,793",Fox,tt1805411,Son of God,2010,80.0,Documentary,6.8,13
1117,en,Son of God,"$22,000,000","$70,949,793",Fox,tt3210686,Son of God,2014,138.0,"Biography,Drama,History",5.8,17606
1118,en,The Hundred-Foot Journey,"$22,000,000","$94,270,488",BV,tt2980648,The Hundred-Foot Journey,2014,122.0,"Comedy,Drama",7.3,69562
1119,en,Think Like a Man Too,"$24,000,000","$70,027,933",SGem,tt2239832,Think Like a Man Too,2014,106.0,"Comedy,Romance",5.8,18533
1120,en,And So It Goes,"$18,000,000","$17,920,013",CE,tt2465146,And So It Goes,2014,94.0,"Comedy,Drama,Romance",5.8,11597
